id,title,difficulty,tags,link
78,N meetings in one room,Easy,"Greedy, Algorithms",https://www.geeksforgeeks.org/problems/n-meetings-in-one-room-1587115620/1
79,Spirally traversing a matrix,Medium,"Arrays, Matrix, Data Structures",https://www.geeksforgeeks.org/problems/spirally-traversing-a-matrix-1587115621/1
80,Remove Duplicates from a Sorted Linked List,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1
81,Fractional Knapsack,Medium,"Greedy, Algorithms",https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1
82,Linked List Insertion At End,Basic,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/linked-list-insertion-1587115620/1
83,Subset Sum Problem,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1
84,Longest Common Prefix of Strings,Easy,"Arrays, Strings, Data Structures",https://www.geeksforgeeks.org/problems/longest-common-prefix-in-an-array5129/1
85,Height of Binary Tree,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/height-of-binary-tree/1
86,The Celebrity Problem,Medium,"Arrays, Stack, Data Structures",https://www.geeksforgeeks.org/problems/the-celebrity-problem/1
87,Add Number Linked Lists,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/add-two-numbers-represented-by-linked-lists/1
88,Intersection in Y Shaped Lists,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/intersection-point-in-y-shapped-linked-lists/1
89,Rotate Array by One,Basic,"Arrays, implementation",https://www.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one2614/1
90,Square Root,Easy,"Searching, Mathematical, Binary Search, Algorithms",https://www.geeksforgeeks.org/problems/square-root/1
91,Longest Common Subsequence,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/longest-common-subsequence-1587115620/1
92,Number of occurrence,Easy,"Arrays, Searching, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1
93,Subarray with 0 sum,Medium,"sliding-window, Hash, Map, STL, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1
94,Max Value Permutation,Easy,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximize-arrii-of-an-array0026/1
95,Validate an IP Address,Medium,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/validate-an-ip-address-1587115621/1
96,Bottom View of Binary Tree,Medium,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1
97,Merge Without Extra Space,Medium,"Sorting, Algorithms, Arrays",https://www.geeksforgeeks.org/problems/merge-two-sorted-arrays-1587115620/1
98,Add 1 to a Linked List Number,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/add-1-to-a-number-represented-as-linked-list/1
